id,name,state,region_type,budget_level,best_months,crowd_level,adventure_score,nature_score,luxury_score,nightlife_score,culture_score,food_scene_score,family_friendly_score,description,text_for_embedding
1,Kalpa,Himachal Pradesh,mountains,medium,"April,May,October",low,8,10,3,1,6,5,7,"A quiet Himalayan village in Kinnaur known for apple orchards, views of the Kinnaur Kailash peak, monastery visits, and a slow, peaceful pace far from tourist crowds -- ideal for travelers who want mountains without the Manali rush.","Kalpa, mountains destination in Himachal Pradesh. A quiet Himalayan village in Kinnaur known for apple orchards, views of the Kinnaur Kailash peak, monastery visits, and a slow, peaceful pace far from tourist crowds -- ideal for travelers who want mountains without the Manali rush. Budget level: medium. Crowd level: low."
2,Goa,Goa,beach,medium,"November,December,January,February",high,5,7,7,10,5,8,7,"India's most famous beach destination, blending Portuguese-era architecture, lively beach shacks, water sports, and a buzzing nightlife scene, with both party beaches like Baga and calmer stretches like Palolem.","Goa, beach destination in Goa. India's most famous beach destination, blending Portuguese-era architecture, lively beach shacks, water sports, and a buzzing nightlife scene, with both party beaches like Baga and calmer stretches like Palolem. Budget level: medium. Crowd level: high."
3,Manali,Himachal Pradesh,mountains,medium,"March,April,May,September,October",high,8,8,5,4,5,6,7,"A popular Himalayan hill town serving as a gateway to treks, paragliding, and river rafting, with a lively main market and old Manali cafe culture, though it gets heavily crowded in peak season.","Manali, mountains destination in Himachal Pradesh. A popular Himalayan hill town serving as a gateway to treks, paragliding, and river rafting, with a lively main market and old Manali cafe culture, though it gets heavily crowded in peak season. Budget level: medium. Crowd level: high."
4,Spiti Valley,Himachal Pradesh,mountains,medium,"June,July,August,September",low,10,10,2,1,8,4,4,"A stark, high-altitude cold desert valley dotted with centuries-old Buddhist monasteries, remote villages, and dramatic barren landscapes -- for travelers seeking raw adventure and solitude over comfort.","Spiti Valley, mountains destination in Himachal Pradesh. A stark, high-altitude cold desert valley dotted with centuries-old Buddhist monasteries, remote villages, and dramatic barren landscapes -- for travelers seeking raw adventure and solitude over comfort. Budget level: medium. Crowd level: low."
5,Jaipur,Rajasthan,city,medium,"October,November,December,January,February,March",high,3,3,7,6,10,8,8,"The Pink City, rich in Rajput history, with grand forts, palaces, vibrant bazaars, and a strong tradition of textiles and cuisine -- a classic cultural and heritage destination.","Jaipur, city destination in Rajasthan. The Pink City, rich in Rajput history, with grand forts, palaces, vibrant bazaars, and a strong tradition of textiles and cuisine -- a classic cultural and heritage destination. Budget level: medium. Crowd level: high."
6,Gokarna,Karnataka,beach,low,"October,November,December,January,February",medium,6,8,3,3,4,6,5,"A laid-back temple town turned backpacker beach destination on the Karnataka coast, offering quieter, less commercialized beaches than Goa, with a spiritual undercurrent from its ancient Shiva temple.","Gokarna, beach destination in Karnataka. A laid-back temple town turned backpacker beach destination on the Karnataka coast, offering quieter, less commercialized beaches than Goa, with a spiritual undercurrent from its ancient Shiva temple. Budget level: low. Crowd level: medium."
7,Coorg,Karnataka,forest,medium,"October,November,December,January,February,March",medium,6,9,5,2,5,7,7,"A misty hill region known as the coffee capital of India, with rolling plantations, waterfalls, and homestays -- popular for a relaxed nature getaway with good food and moderate trekking.","Coorg, forest destination in Karnataka. A misty hill region known as the coffee capital of India, with rolling plantations, waterfalls, and homestays -- popular for a relaxed nature getaway with good food and moderate trekking. Budget level: medium. Crowd level: medium."
8,Munnar,Kerala,mountains,medium,"September,October,November,December,January,February",high,5,9,5,2,4,6,8,"A hill station in Kerala famous for sprawling tea plantations, misty peaks, and cool weather, offering an easy, scenic escape that is family-friendly and photogenic.","Munnar, mountains destination in Kerala. A hill station in Kerala famous for sprawling tea plantations, misty peaks, and cool weather, offering an easy, scenic escape that is family-friendly and photogenic. Budget level: medium. Crowd level: high."
9,Chikmagalur,Karnataka,forest,low,"October,November,December,January,February,March",low,7,9,3,1,4,6,6,"A quieter coffee-growing hill town near Coorg, with trekking trails, waterfalls, and coffee estate stays, appealing to travelers who want Coorg's charm minus the crowds.","Chikmagalur, forest destination in Karnataka. A quieter coffee-growing hill town near Coorg, with trekking trails, waterfalls, and coffee estate stays, appealing to travelers who want Coorg's charm minus the crowds. Budget level: low. Crowd level: low."
10,Tirthan Valley,Himachal Pradesh,mountains,low,"March,April,May,September,October,November",low,8,10,2,1,4,5,6,"A pristine, less-commercialized valley near the Great Himalayan National Park, known for trout fishing, riverside camping, and gentle treks -- a favorite among travelers seeking a quieter alternative to Manali.","Tirthan Valley, mountains destination in Himachal Pradesh. A pristine, less-commercialized valley near the Great Himalayan National Park, known for trout fishing, riverside camping, and gentle treks -- a favorite among travelers seeking a quieter alternative to Manali. Budget level: low. Crowd level: low."
11,Ziro Valley,Arunachal Pradesh,mountains,low,"March,April,September,October",low,7,10,2,1,9,4,3,"A remote valley home to the Apatani tribe, with pine-covered hills, paddy fields, and a well-known annual music festival -- offering deep cultural immersion far off the usual tourist map.","Ziro Valley, mountains destination in Arunachal Pradesh. A remote valley home to the Apatani tribe, with pine-covered hills, paddy fields, and a well-known annual music festival -- offering deep cultural immersion far off the usual tourist map. Budget level: low. Crowd level: low."
