id,name,state,region_type,budget_level,best_months,crowd_level,adventure_score,nature_score,luxury_score,nightlife_score,culture_score,food_scene_score,family_friendly_score,description
1,Kalpa,Himachal Pradesh,mountains,medium,"April,May,October",low,8,10,3,1,6,5,7,"A quiet Himalayan village in Kinnaur known for apple orchards, views of the Kinnaur Kailash peak, monastery visits, and a slow, peaceful pace far from tourist crowds -- ideal for travelers who want mountains without the Manali rush."
2,Goa,Goa,beach,medium,"November,December,January,February",high,5,7,7,10,5,8,7,"India's most famous beach destination, blending Portuguese-era architecture, lively beach shacks, water sports, and a buzzing nightlife scene, with both party beaches like Baga and calmer stretches like Palolem."
3,Manali,Himachal Pradesh,mountains,medium,"March,April,May,September,October",high,8,8,5,4,5,6,7,"A popular Himalayan hill town serving as a gateway to treks, paragliding, and river rafting, with a lively main market and old Manali cafe culture, though it gets heavily crowded in peak season."
4,Spiti Valley,Himachal Pradesh,mountains,medium,"June,July,August,September",low,10,10,2,1,8,4,4,"A stark, high-altitude cold desert valley dotted with centuries-old Buddhist monasteries, remote villages, and dramatic barren landscapes -- for travelers seeking raw adventure and solitude over comfort."
5,Jaipur,Rajasthan,city,medium,"October,November,December,January,February,March",high,3,3,7,6,10,8,8,"The Pink City, rich in Rajput history, with grand forts, palaces, vibrant bazaars, and a strong tradition of textiles and cuisine -- a classic cultural and heritage destination."
6,Gokarna,Karnataka,beach,low,"October,November,December,January,February",medium,6,8,3,3,4,6,5,"A laid-back temple town turned backpacker beach destination on the Karnataka coast, offering quieter, less commercialized beaches than Goa, with a spiritual undercurrent from its ancient Shiva temple."
7,Coorg,Karnataka,forest,medium,"October,November,December,January,February,March",medium,6,9,5,2,5,7,7,"A misty hill region known as the coffee capital of India, with rolling plantations, waterfalls, and homestays -- popular for a relaxed nature getaway with good food and moderate trekking."
8,Munnar,Kerala,mountains,medium,"September,October,November,December,January,February",high,5,9,5,2,4,6,8,"A hill station in Kerala famous for sprawling tea plantations, misty peaks, and cool weather, offering an easy, scenic escape that is family-friendly and photogenic."
9,Chikmagalur,Karnataka,forest,low,"October,November,December,January,February,March",low,7,9,3,1,4,6,6,"A quieter coffee-growing hill town near Coorg, with trekking trails, waterfalls, and coffee estate stays, appealing to travelers who want Coorg's charm minus the crowds."
10,Tirthan Valley,Himachal Pradesh,mountains,low,"March,April,May,September,October,November",low,8,10,2,1,4,5,6,"A pristine, less-commercialized valley near the Great Himalayan National Park, known for trout fishing, riverside camping, and gentle treks -- a favorite among travelers seeking a quieter alternative to Manali."
11,Ziro Valley,Arunachal Pradesh,mountains,low,"March,April,September,October",low,7,10,2,1,9,4,3,"A remote valley home to the Apatani tribe, with pine-covered hills, paddy fields, and a well-known annual music festival -- offering deep cultural immersion far off the usual tourist map."
12,Chopta,Uttarakhand,mountains,low,"April,May,September,October,November",low,9,10,1,1,5,3,4,"Known as the 'mini Switzerland of India,' a small meadow-side base for the Tungnath and Chandrashila treks, offering high-altitude views with minimal infrastructure and very few crowds."
13,Bir-Billing,Himachal Pradesh,mountains,low,"March,April,May,September,October,November",low,9,8,2,2,4,5,5,"India's paragliding capital, a Tibetan settlement town surrounded by pine forests, popular with adventure travelers for paragliding and short monastery-hopping walks."
14,Sandakphu,West Bengal,mountains,low,"April,May,October,November",low,9,10,1,1,4,3,3,"The highest point in West Bengal, reached via a multi-day trek offering views of four of the world's five highest peaks including Everest and Kanchenjunga -- for serious trekkers seeking remote high-altitude views."
15,Mawlynnong,Meghalaya,forest,low,"October,November,December,January,February,March",low,4,10,2,1,7,4,7,"Known as one of Asia's cleanest villages, featuring living root bridges, dense forest walks, and Khasi tribal culture -- a peaceful, offbeat destination in Meghalaya's hills."
16,Majuli,Assam,backwaters,low,"October,November,December,January,February,March",low,5,9,1,1,9,4,5,"The world's largest river island on the Brahmaputra, home to centuries-old Vaishnavite monasteries and mask-making traditions -- a culturally rich and little-visited destination."
17,Araku Valley,Andhra Pradesh,mountains,low,"October,November,December,January,February,March",low,5,9,2,1,6,5,7,"A scenic valley in the Eastern Ghats known for coffee plantations, tribal museums, and the scenic Araku toy train route from Visakhapatnam -- a gentle, accessible nature escape in South India."
18,Chettinad,Tamil Nadu,city,medium,"November,December,January,February",low,3,3,4,1,10,10,6,"A cluster of villages famous for grand heritage mansions, intricate architecture, and a distinctive, spice-forward regional cuisine -- ideal for food and heritage-focused travelers."
19,Udaipur,Rajasthan,city,luxury,"October,November,December,January,February,March",medium,3,6,9,5,9,7,8,"The 'City of Lakes,' known for opulent palaces, lakeside havelis, and romantic boat rides -- a favored luxury and honeymoon destination with strong royal Rajasthani heritage."
